Band Name - Unclean,Venue - Unclean,Concert Date,Openers
Boston Symphony Orchestra: Andris Nelsons - Shostakovich's Lady Macbeth,Boston Symphony Hall,01/27/2024,
Chris Redd,Laugh Boston,01/27/2024,
Pat McGann,Wilbur Theatre - MA,01/27/2024,
Brendan Abernathy,The Red Room at Cafe 939,01/27/2024,
Moondance - Van Morrison Tribute,City Winery - Boston,01/27/2024,
Chloe LaBranche,Nick's Comedy Stop,01/27/2024,
Hooligan Holiday,Paradise Rock Club,01/27/2024,
Rick Springfield & Richard Marx,Shubert Theatre At The Boch Center,01/27/2024,
AyEoo Romero,the Grand,01/27/2024,
DJ Costa,Memoire Boston At Encore Boston Harbor,01/27/2024,
Chris Redd,Laugh Boston,01/27/2024,
Morten,the Royale,01/27/2024,
Snakehips,Big Night Live,01/27/2024,
Meet Me At The Altar,Paradise Rock Club,01/28/2024,
The Little Mermen,City Winery - Boston,01/28/2024,
Juliana Hatfield,City Winery - Boston,01/29/2024,
Boston Symphony Orchestra,Carnegie Hall - Isaac Stern Auditorium,01/29/2024,
Boston Symphony Orchestra,Carnegie Hall - Isaac Stern Auditorium,01/30/2024,
Los Rolling Ruanas,Haymarket Lounge At City Winery - Boston,01/30/2024,
Mayer Hawthorne,the Royale,01/30/2024,
Cipha Sounds,Haymarket Lounge At City Winery - Boston,02/01/2024,
Ari Shaffir,Wilbur Theatre - MA,02/01/2024,
Constantine Maroulis,City Winery - Boston,02/01/2024,
Dillon Francis,Big Night Live,02/01/2024,
"Boston Symphony Orchestra: Andris Nelsons & Randall Goosby - Smyth, Bruch & Mendelssohn",Boston Symphony Hall,02/02/2024,
Raheem DeVaughn,City Winery - Boston,02/02/2024,
Rene Vaca,Laugh Boston,02/02/2024,
Lucius,the House of Blues,02/02/2024,
Wild Party - Band,The Red Room at Cafe 939,02/02/2024,
Briston Maroney,Paradise Rock Club,02/02/2024,
Comedy and Cabernet,Haymarket Lounge At City Winery - Boston,02/02/2024,
Ari Shaffir,Wilbur Theatre - MA,02/02/2024,
Greensky Bluegrass,MGM Music Hall,02/02/2024,
Playboi Carti,TD Garden,02/02/2024,
Brendan Eyre,Nick's Comedy Stop,02/02/2024,
Shrek Rave,Big Night Live,02/02/2024,
Ian Asher,the Grand,02/02/2024,
Sickick,Memoire Boston At Encore Boston Harbor,02/02/2024,
JVNA,the Royale,02/02/2024,
Raheem DeVaughn,City Winery - Boston,02/02/2024,
Ari Shaffir,Wilbur Theatre - MA,02/02/2024,
Club 90s,Big Night Live,02/03/2024,
Rene Vaca,Laugh Boston,02/03/2024,
Matty Chymbor,Haymarket Lounge At City Winery - Boston,02/03/2024,
Jessica Kirson,Wilbur Theatre - MA,02/03/2024,
Briston Maroney,Paradise Rock Club,02/03/2024,
"Boston Symphony Orchestra: Andris Nelsons & Randall Goosby - Smyth, Bruch & Mendelssohn",Boston Symphony Hall,02/03/2024,
Stephen Kellogg,City Winery - Boston,02/03/2024,
Brendan Eyre,Nick's Comedy Stop,02/03/2024,
Matty Chymbor,Haymarket Lounge At City Winery - Boston,02/03/2024,
Jessica Kirson,Wilbur Theatre - MA,02/03/2024,
Rene Vaca,Laugh Boston,02/03/2024,
Midnight Tyrannosaurus,the Royale,02/03/2024,
Cash Cash,Big Night Live,02/03/2024,
Boston Country Music Festival: Zeze Di Camargo,the House of Blues,02/04/2024,
Jeremy Jordan,City Winery - Boston,02/04/2024,
